student_name,register_number,department,cgpa,tenth_percentage,twelfth_percentage,aptitude_score,coding_score,communication_skill,internship,certifications,projects_completed,backlogs,placed
Student_1,REG20260001,Information Technology,7.73,83.93,80.77,72,44.0,Excellent,Yes,3,3,2,0
Student_2,REG20260002,Other,7.56,89.26,77.09,40,68.0,Average,Yes,0,1,0,1
Student_3,REG20260003,Mechanical Engineering,5.61,65.77,67.39,90,82.0,Excellent,No,0,3,2,0
Student_4,REG20260004,Electrical and Electronics Engineering,6.97,81.87,55.28,44,67.0,Good,Yes,2,1,0,0
Student_5,REG20260005,Computer Science and Engineering,7.13,79.59,76.34,52,95.0,,No,0,1,0,0
Student_6,REG20260006,Computer Science and Engineering,7.21,90.81,67.28,58,,Poor,No,0,0,0,0
Student_7,REG20260007,Computer Science and Engineering,7.99,93.96,86.59,51,88.0,Average,Yes,0,2,1,0
Student_8,REG20260008,Artificial Intelligence and Data Science,7.79,55.52,56.03,87,99.0,Good,No,1,1,0,0
Student_9,REG20260009,Electrical and Electronics Engineering,8.11,83.98,80.15,64,35.0,Poor,No,1,2,1,0
Student_10,REG20260010,Mechanical Engineering,8.79,57.23,95.48,96,39.0,Good,,1,2,1,0
Student_11,REG20260011,Computer Science and Engineering,9.0,78.6,62.5,90,49.0,Poor,Yes,2,1,0,1
Student_12,REG20260012,Other,8.59,67.37,75.28,74,62.0,Good,No,1,2,2,0
Student_13,REG20260013,Artificial Intelligence and Data Science,9.61,68.19,58.93,51,57.0,Average,No,0,3,0,0
Student_14,REG20260014,Computer Science and Engineering,5.58,70.18,81.9,69,51.0,Good,No,3,1,2,0
Student_15,REG20260015,Computer Science and Engineering,6.34,81.72,78.67,44,47.0,Good,Yes,0,1,0,0
Student_16,REG20260016,Computer Science and Engineering,5.53,69.36,72.52,73,48.0,Average,No,0,2,0,0
Student_17,REG20260017,Information Technology,8.28,86.51,77.42,61,45.0,Average,No,0,2,0,0
Student_18,REG20260018,Electronics and Communication Engineering,9.36,72.39,93.55,78,62.0,Poor,Yes,1,0,0,1
Student_19,REG20260019,Electronics and Communication Engineering,6.55,57.94,63.44,52,76.0,Good,No,0,1,0,0
Student_20,REG20260020,Information Technology,9.49,88.7,55.97,96,95.0,,No,0,1,0,1
Student_21,REG20260021,Electrical and Electronics Engineering,5.76,67.29,92.05,86,98.0,Good,No,0,1,0,1
Student_22,REG20260022,Computer Science and Engineering,9.52,73.61,79.82,93,65.0,Good,No,0,0,0,1
Student_23,REG20260023,Information Technology,7.01,84.47,93.3,42,44.0,Average,No,1,3,0,0
Student_24,REG20260024,Information Technology,5.94,69.3,80.67,99,42.0,Average,No,2,2,1,0
Student_25,REG20260025,Electronics and Communication Engineering,7.59,57.43,89.84,92,55.0,Poor,No,2,1,0,0
Student_26,REG20260026,Civil Engineering,6.6,71.08,73.48,59,93.0,Average,No,0,2,2,0
Student_27,REG20260027,Computer Science and Engineering,6.72,95.61,87.24,70,84.0,Excellent,No,0,3,0,0
Student_28,REG20260028,Electronics and Communication Engineering,6.82,82.59,94.26,44,64.0,Excellent,No,4,0,0,0
Student_29,REG20260029,Electrical and Electronics Engineering,8.95,83.87,79.6,63,51.0,Average,No,0,1,0,0
Student_30,REG20260030,Computer Science and Engineering,7.82,82.19,62.77,79,54.0,Good,No,2,1,0,0
Student_31,REG20260031,Electrical and Electronics Engineering,6.84,63.56,66.56,93,82.0,Good,No,0,2,0,0
Student_32,REG20260032,Computer Science and Engineering,8.12,72.99,63.54,72,36.0,Average,Yes,3,0,0,0
Student_33,REG20260033,Computer Science and Engineering,8.58,87.29,65.61,47,71.0,Poor,Yes,0,4,1,0
Student_34,REG20260034,Artificial Intelligence and Data Science,6.67,59.36,68.18,63,35.0,Poor,No,1,1,1,0
Student_35,REG20260035,Other,7.28,66.95,78.87,89,38.0,Good,Yes,1,1,0,0
Student_36,REG20260036,Civil Engineering,6.02,66.88,80.28,59,88.0,Excellent,Yes,1,1,1,0
Student_37,REG20260037,Information Technology,6.28,73.58,73.34,99,59.0,Good,No,0,0,0,0
